HALTER_ID,"Age, Guardian","Gender, Guardian",City District,Primary Breed,"Year of Birth, Dog","Sex, Dog",Dog Colour
80188,51-60,w,10,True klein,2014,m,Brown
80201,51-60,m,3,True klein,2007,w,Black
80204,51-60,w,11,Appenzeller,1998,m,tricolor
80205,41-50,m,5,Beauceron,2005,m,black/tan
80209,81-90,m,10,Bichon Havanais,2000,w,White
80217,51-60,w,3,Foxterrier,2007,w,Brown/White
80223,41-50,m,11,Dachshund,2011,w,Bright Brown
80226,71-80,w,6,Labrador Retriever,2010,m,Brown
80230,61-70,w,9,Yorkshire Terrier,2006,m,Brown/White
80230,61-70,w,9,Yorkshire Terrier,2006,w,Black/Brown
80248,51-60,m,4,Jack Russel Terrier,2009,w,Brown/White
80258,51-60,m,11,Dackel,2009,w,Red/Black
80267,41-50,m,12,True klein,2006,m,Brown
80272,51-60,m,9,Terrier,2007,m,black/tan
80306,61-70,m,9,Border Terrier,2005,m,Grey/Brown
80317,81-90,w,7,Windspiel,2001,w,blue
80319,41-50,w,10,Dackel,2010,w,tricolor
80319,41-50,w,10,True klein,2006,m,Brown/Black
80330,71-80,w,12,Husky,2004,w,Brown/White
80331,51-60,w,10,Collie,2007,w,tricolor
80335,61-70,w,12,Irish Setter,2008,m,Brown
80335,61-70,w,12,Irish Setter,2008,m,Brown
80351,81-90,w,3,Bearded Collie,2005,w,Brown/White
80380,71-80,m,2,True klein,2007,w,tricolor
80382,51-60,w,10,Dachshund,2008,m,Brown
80383,81-90,w,4,Bichon,1999,w,White
80399,61-70,w,12,Appenzeller,1998,m,tricolor
80404,61-70,m,7,Redtweiler,2005,w,Black
80406,51-60,m,11,Labrador Retriever,2008,w,Black
80407,71-80,m,7,Labrador Retriever,2012,w,Black
80410,51-60,w,7,Labrador Retriever,2012,w,Black
80411,41-50,w,6,Labrador Retriever,2005,m,Black
80412,51-60,m,2,Labrador Retriever,2012,m,Black
80416,51-60,w,9,Labrador Retriever,2008,m,Black
80418,41-50,w,8,Labrador Retriever,2006,m,Black
80427,61-70,m,10,Tschechoslowakischer Wolfshund,2000,m,Black/Brown
80434,61-70,w,7,Pudel,2006,m,Black
80438,71-80,m,7,Deutscher Wachtel,2006,w,RedBrown Dull Grey
80491,61-70,w,6,Chihuahua,2006,w,Brown
80493,81-90,w,11,Shih Tzu,2006,m,White/Black
80494,81-90,w,2,Dachshund,2004,m,Brown/Black
80500,51-60,m,11,Boxer,2010,w,Gold Brown
80500,51-60,m,11,Deutscher Boxer,2004,m,Yellow
80509,71-80,w,2,Boxer,2011,w,Yellow
80513,51-60,w,3,Parson Jack Russell Terrier,2011,w,tricolor
80516,41-50,m,3,Malteser,2005,w,White/Brown
80525,71-80,m,7,Zwergpudel,2011,m,Black
80530,81-90,w,2,Pudel,2005,w,Black
80536,71-80,m,2,Schweizer Niederlaufhund,2007,m,White/orange
80538,61-70,w,2,English Cocker Spaniel,2011,m,Black/White
80545,51-60,m,9,Border Terrier,2006,w,Black/Brown
80545,51-60,m,9,Border Terrier,2010,w,red grizzle
80552,51-60,w,9,Windspiel,1999,w,Grey
80552,51-60,w,9,Windspiel,2004,w,beige/White
80553,81-90,w,2,Jack Russel Terrier,2002,m,White/Black
80556,81-90,m,3,Mops,2009,m,Brindle
80571,51-60,m,3,True klein,2013,w,Black/Brown
80575,81-90,w,4,True klein,2008,w,White/beige
80584,71-80,w,8,Labrador Retriever,2009,m,Black
80602,61-70,w,12,Bolonka Zwetna,2011,m,White
80604,71-80,m,7,Labrador Retriever,2009,w,Brown
80604,71-80,m,7,Labrador Retriever,2004,w,Black
80604,71-80,m,7,Labrador Retriever,2012,w,Black
80607,81-90,w,10,West Highland White Terrier,2004,w,White
80608,81-90,w,2,Deutscher Schäfer,2004,w,Black/Yellow
80618,61-70,w,8,Irish Terrier,2005,w,Red
80622,61-70,m,6,Parson Russell Terrier,2002,w,White/Brown
80628,61-70,m,9,Labrador Retriever,2005,m,Black
80630,81-90,m,3,Zwergpudel,2003,m,apricot
80631,71-80,w,11,Tervueren,2005,w,Brown/Black
80637,81-90,m,12,True klein,2005,w,Black/Brown/White
80645,71-80,w,2,Berner Sennenhund,2013,w,tricolor
80645,71-80,w,2,Berner Sennenhund,2010,w,Black/Brown/White
80647,61-70,m,11,Gold en Retriever,2010,m,blond Colour
80648,41-50,m,11,Belgischer Schäfer,2015,m,Black
80653,61-70,m,7,Groenendael,2009,w,Black
80656,71-80,m,10,Pointer,2008,w,White
80657,71-80,w,11,Cairn Terrier,2000,m,brindle
80659,51-60,w,3,English Springer Spaniel,2012,m,Black/White
80661,61-70,w,7,Chihuahua,2014,w,Black/beige
80663,81-90,w,7,Malteser,2003,m,White
80684,71-80,w,2,Bergamasker,2009,m,tricolor
80698,41-50,w,11,Toypudel,2010,m,White
80698,41-50,w,11,Pudel,1999,m,apricot
80700,51-60,w,2,Podenco,2009,w,Brown/Black
80700,51-60,w,2,True klein,2007,w,Brown/White
80708,71-80,w,11,West Highland White Terrier,2000,m,White
80713,61-70,m,11,Dackel,2012,w,Red
80715,61-70,m,6,True klein,2007,m,rehBrown
80719,61-70,w,11,Jack Russel Terrier,2004,m,White/Black/Brown
80719,61-70,w,11,Parson Terrier,2005,m,beige
80734,71-80,w,2,Basset Griffon vendéen,2005,w,sable/White
80735,51-60,w,12,Gold en Retriever,2010,w,blond Colour
80753,71-80,m,9,True klein,2011,w,Brown
80755,61-70,w,9,West Highland White Terrier,2012,w,White
80758,81-90,w,2,Labrador Retriever,2001,w,Black
80760,61-70,w,7,Epagneul Breton,2015,m,White/orange
80761,71-80,m,11,Appenzeller Sennenhund,2008,m,tricolor
80761,71-80,m,11,Appenzeller Sennenhund,2011,w,tricolor
80762,51-60,w,11,Gold en Retriever,2009,m,Gold en
80763,71-80,w,7,Hovawart,2007,m,blond Colour
80767,61-70,w,9,Beagle,2012,m,tricolor
80778,51-60,m,2,Yorkshire Terrier,2014,w,Black/Brown
80797,71-80,w,2,Shih Tzu,2009,m,tricolor
80835,71-80,w,7,Malteser,2013,w,White
80838,71-80,w,7,Toypudel,2013,w,Black
80840,51-60,w,10,Dalmatiner,2012,m,Black/White
80843,61-70,w,5,Toypudel,2001,m,Black
80847,71-80,m,9,Beagle,2006,w,tricolor
80849,61-70,m,11,Labrador Retriever,2002,w,Black/White
80853,51-60,w,12,Labradoodle,2015,w,Black
80867,71-80,m,12,True gross,2005,w,beige/Brown
80871,61-70,m,7,Terrier,1998,m,tricolor
80871,61-70,m,7,True klein,2003,w,blond Colour
80881,71-80,w,7,Mops,2008,w,beige
80881,71-80,w,7,Mops,2006,m,beige
80883,51-60,w,7,Galgo Español,2014,w,Brown Brindle
80884,71-80,w,7,Cocker Spaniel,2005,w,White/orange
80885,81-90,m,7,West Highland White Terrier,2005,w,White
80888,61-70,w,7,Deutscher Boxer,2011,w,hirschRed
80890,61-70,m,7,Pinscher,2004,w,tricolor
80896,81-90,m,7,Malteser,2009,w,White
80897,41-50,w,7,Lagotto Romagnolo,2011,w,Brown
80915,71-80,w,3,Gold en Retriever,2006,w,blond Colour
80916,41-50,w,9,Groenendael,2010,w,Black
80916,41-50,w,9,Tervueren,2003,w,Brown
80940,61-70,w,7,True klein,2011,w,Black/Brown
80950,61-70,w,7,Rhodesian Ridgeback,2009,m,Red
80956,91-100,m,7,Coton de Tulear,2009,w,White
80957,51-60,w,7,Riesenschnauzer,2012,w,Black
80960,71-80,w,7,Mops,2007,m,Black
80972,71-80,m,7,Hovawart,2014,m,Black
